,city,state_name,county_name,lat,lng,zips,title,link,description,published,location_match
59,,California,,,,,AUDIO: Are oarfish linked to earthquakes?,http://www.bbc.co.uk/news/science-environment-24638595#sa-ns_mchannel=rssns_source=PublicRSS20-sa,"HJ Walker from the Scripps Institution of Oceanography in California, looks at whether oarfish really are linked to earthquakes.","Wed, 23 Oct 2013 11:21:59 GMT",California
60,,California,,,,,Humboldt squid's impressive dives,http://www.bbc.co.uk/go/rss/int/news/-/news/science-environment-17117200,Scientists tag Humboldt squid as they dive through very low-oxygen waters off the coast of California.,"Wed, 22 Feb 2012 08:48:08 GMT",California
61,,California,,,,,Scientists solve 'sliding rocks' puzzle,http://www.bbc.co.uk/news/blogs-news-from-elsewhere-28989520#sa-ns_mchannel=rssns_source=PublicRSS20-sa,Scientists have finally worked out how rocks on a dry lake bed in California move across the ground.,"Fri, 29 Aug 2014 15:26:31 GMT",California
62,,California,,,,,VIDEO: Scientists study starving sea lion pups,http://www.bbc.co.uk/news/world-us-canada-21983196#sa-ns_mchannel=rssns_source=PublicRSS20-sa,Efforts are being made to find out why hundreds of starving sea lion pups are washing up on the beaches of California.,"Sat, 30 Mar 2013 18:28:43 GMT",California
63,,California,,,,,VIDEO: Astronauts praise Dragon craft,http://www.bbc.co.uk/news/science-environment-18221760#sa-ns_mchannel=rssns_source=PublicRSS20-sa,The California SpaceX company has seen its unmanned Dragon cargo ship attach successfully to the International Space Station (ISS) for the first time.,"Sat, 26 May 2012 16:46:58 GMT",California
64,,California,,,,,Sweat-powered 'phone battery' made,http://www.bbc.co.uk/news/science-environment-28791496#sa-ns_mchannel=rssns_source=PublicRSS20-sa,A battery tattoo powered by perspiration has been unveiled by chemists in California.,"Thu, 14 Aug 2014 13:00:50 GMT",California
65,,California,,,,,Skin transformed into brain cells,http://www.bbc.co.uk/go/rss/int/news/-/news/health-16788809,"Skin cells have been converted directly into cells which develop into the main components of the brain, by researchers in California.","Tue, 31 Jan 2012 00:13:22 GMT",California
66,,California,,,,,VIDEO: Taps run dry amid California drought,http://www.bbc.co.uk/news/world-us-canada-28955153#sa-ns_mchannel=rssns_source=PublicRSS20-sa,California has been hit by its worst drought in a century and many say the problem is only going to get worse.,"Wed, 27 Aug 2014 13:14:20 GMT",California
67,,California,,,,,California carbon trading passed,http://www.bbc.co.uk/go/rss/int/news/-/news/world-us-canada-12016137,"California approves an extensive carbon-trading scheme, aimed at cutting greenhouse emissions by allowing firms to buy and sell polluting permits.","Fri, 17 Dec 2010 09:40:26 GMT",California
68,,California,,,,,Solar Impulse sets off for California,http://www.bbc.co.uk/news/science-environment-36068059#sa-ns_mchannel=rssns_source=PublicRSS20-sa,"The zero-fuel aeroplane, Solar Impulse, renews its effort to circumnavigate the globe, leaving Hawaii to fly across the Pacific Ocean to San Francisco.","Thu, 21 Apr 2016 16:36:30 GMT",California
69,,California,,,,,'Owners' battle for giant emerald,http://www.bbc.co.uk/go/rss/int/news/-/news/world-us-canada-11413132,"A California judge is being asked to determine the ownership of a giant emerald amid a six-way battle for the 380kg, $370m stone.","Sun, 26 Sep 2010 01:15:19 GMT",California
70,,California,,,,,Then and now: A 'megadrought' in California,https://www.bbc.co.uk/news/science-environment-56225862,See how extreme weather has affected an vital reservoir in California.,"Thu, 04 Mar 2021 01:16:52 GMT",California
71,,California,,,,,More men chat in girls' 'dialect',http://www.bbc.co.uk/news/science-environment-25232387#sa-ns_mchannel=rssns_source=PublicRSS20-sa,"More men in California rise in pitch at the end of their sentences when talking, new research shows.","Fri, 06 Dec 2013 01:37:45 GMT",California
72,,California,,,,,VIDEO: Endeavour on its final journey,http://www.bbc.co.uk/news/science-environment-19645533#sa-ns_mchannel=rssns_source=PublicRSS20-sa,The Space Shuttle Endeavour left the Kennedy Space Center on its final journey before it is officially retired to a museum in California.,"Wed, 19 Sep 2012 12:12:46 GMT",California
73,,California,,,,,Water use boosts California quakes,http://www.bbc.co.uk/news/science-environment-27393811#sa-ns_mchannel=rssns_source=PublicRSS20-sa,Extracting water for human activities is increasing the number of small earthquakes being triggered in California.,"Wed, 14 May 2014 17:08:29 GMT",California
74,,California,,,,,Hologram microscope spots E. coli,http://www.bbc.co.uk/go/rss/int/news/-/news/technology-14728722,Researchers in California have developed a portable microscope that uses holography to detect bacteria such as E. coli,"Thu, 01 Sep 2011 11:06:40 GMT",California
75,,California,,,,,Can California save itself from the flames?,https://www.bbc.co.uk/news/world-us-canada-59266120?at_medium=RSSat_campaign=KARANGA,"Unprecedented drought and heat, combined with bad land management, have culminated in historic wildfires.","Sat, 13 Nov 2021 03:23:23 GMT",California
76,,California,,,,,Artificial quakes rock 'hospital',http://www.bbc.co.uk/news/technology-17954352#sa-ns_mchannel=rssns_source=PublicRSS20-sa,Engineers in California unleash high-intensity artificial earthquakes on a five-storey building packed with medical equipment,"Mon, 07 May 2012 01:52:04 GMT",California
77,,California,,,,,Tesla in fatal California crash was on Autopilot,http://www.bbc.co.uk/news/world-us-canada-43604440,The company says a Model X vehicle involved in a fatal crash in the US was in Autopilot mode.,"Sat, 31 Mar 2018 10:24:42 GMT",California
78,,California,,,,,VIDEO: Rubber chicken sent to edge of space,http://www.bbc.co.uk/news/technology-17793724#sa-ns_mchannel=rssns_source=PublicRSS20-sa,"A group of high school students in California have launched a rubber chicken to the edge of space, all in the name of science.","Fri, 20 Apr 2012 18:33:32 GMT",California
79,,California,,,,,Lift-off for private space travel dream?,http://www.bbc.co.uk/go/rss/int/news/-/news/science-environment-13335687,The California firm hoping to revolutionise space travel,"Mon, 09 May 2011 23:11:17 GMT",California
80,,California,,,,,VIDEO: Inside a space capsule of the future,http://www.bbc.co.uk/go/rss/int/news/-/news/science-environment-13341469,Science correspondent David Shukman visited SpaceX's rocket factory in California for a look inside the prototype capsule.,"Mon, 09 May 2011 21:06:04 GMT",California
81,,California,,,,,Ancient carvings vandalised in US,http://www.bbc.co.uk/news/world-us-canada-20404856#sa-ns_mchannel=rssns_source=PublicRSS20-sa,Thieves use power saws to cut out and steal a series of ancient carvings sacred to Native Americans from a California cliff side.,"Tue, 20 Nov 2012 03:16:17 GMT",California
82,,California,,,,,Drones take whale survey to the sky,http://www.bbc.co.uk/news/science-environment-32935898#sa-ns_mchannel=rssns_source=PublicRSS20-sa,Scientists are using drones to monitor gray whales of the coast of California.,"Fri, 29 May 2015 23:13:12 GMT",California
83,,California,,,,,VIDEO: One of last six rare rhinos dies,http://www.bbc.co.uk/news/world-us-canada-30493888#sa-ns_mchannel=rssns_source=PublicRSS20-sa,"One of the world's last remaining northern white rhinos has died at a zoo in California, the 44-year old male named Angalifu died of old age, leaving only five in the world.","Tue, 16 Dec 2014 13:09:45 GMT",California
84,,California,,,,,Big names add glitz to science prize,http://www.bbc.co.uk/news/science-environment-29987154#sa-ns_mchannel=rssns_source=PublicRSS20-sa,Top scientists have been awarded huge cash prizes at a ceremony on Sunday in California.,"Mon, 10 Nov 2014 12:16:16 GMT",California
85,,California,,,,,Light-powered bionic eye invented,http://www.bbc.co.uk/news/health-18061174#sa-ns_mchannel=rssns_source=PublicRSS20-sa,A retinal implant - or bionic eye - which is powered by light has been invented by scientists at Stanford University in California.,"Mon, 14 May 2012 13:03:05 GMT",California
86,,California,,,,,Huge scale of California pollination event,http://www.bbc.co.uk/news/science-environment-21741651#sa-ns_mchannel=rssns_source=PublicRSS20-sa,Billions of bees used as migrant workers in the US,"Tue, 26 Mar 2013 12:36:20 GMT",California
87,,California,,,,,Surfer killed in US shark attack,http://www.bbc.co.uk/news/world-us-canada-20052152#sa-ns_mchannel=rssns_source=PublicRSS20-sa,A 39-year-old surfer dies after a shark attack off the California coast - the second fatal incident there in two years.,"Wed, 24 Oct 2012 04:14:54 GMT",California
88,,California,,,,,Ocean mud yields novel antibiotic,http://www.bbc.co.uk/news/science-environment-23523507#sa-ns_mchannel=rssns_source=PublicRSS20-sa,A completely new and unusual antibiotic compound has been extracted from a marine microbe found in sediments off the coast of California.,"Wed, 31 Jul 2013 17:40:59 GMT",California
89,,California,,,,,California hit by raging wildfires,http://www.bbc.co.uk/news/world-us-canada-28513217#sa-ns_mchannel=rssns_source=PublicRSS20-sa,"Two fast-moving fires in California destroy 10 homes and force the evacuation of hundreds more, as a man dies in a lightning strike in Los Angeles.","Mon, 28 Jul 2014 03:30:42 GMT",California
90,,California,,,,,Whale 'swallows' sea lion: 'It was a once-in-a-lifetime event',https://www.bbc.co.uk/news/newsbeat-49161923,Wildlife photographer Chase Dekker took the photos while whale watching in California.,"Tue, 30 Jul 2019 14:45:43 GMT",California
91,,California,,,,,California fires: Sentinel satellite tracks wildfire smoke plume,http://www.bbc.co.uk/news/science-environment-42375062,Europe's new Sentinel-5P satellite captures a dramatic image of the smoke billowing away from wildfires.,"Sat, 16 Dec 2017 00:36:55 GMT",California
92,,California,,,,,Computer made from tiny carbon tubes,http://www.bbc.co.uk/news/science-environment-24232896#sa-ns_mchannel=rssns_source=PublicRSS20-sa,"The first working computer built with carbon nanotubes instead of silicon has been unveiled by scientists in California, and is named ""Cedric"".","Wed, 25 Sep 2013 21:47:38 GMT",California
93,,California,,,,,Millions take part in California quake drill,http://www.bbc.co.uk/go/rss/int/news/-/news/world-us-canada-11603515,Nearly eight million Californians have taken part in a mass earthquake drill.,"Fri, 22 Oct 2010 04:06:51 GMT",California
94,,California,,,,,Climate change: California wildfires 'can now happen in any year',https://www.bbc.co.uk/news/science-environment-47444463,"Wet winters are no longer a guide to the severity of wildfires in California, a new study suggests.","Mon, 04 Mar 2019 20:01:38 GMT",California
95,,California,,,,,Hoodwinker sunfish: Rare fish washes up on California beach,https://www.bbc.co.uk/news/world-us-canada-47424072,"The seven-foot (2.1m) hoodwinker sunfish washes up in Santa Barbara, baffling scientists.","Sat, 02 Mar 2019 04:29:29 GMT",California
96,,California,,,,,Virgin Galactic: Scots-born pilot rockets into space,https://www.bbc.co.uk/news/uk-scotland-47360492,Scotsman Dave Mackay piloted Virgin Galactic's rocket plane to 90km above California's Mojave Desert.,"Mon, 25 Feb 2019 13:58:37 GMT",California
97,,California,,,,,Early man was 'ancient mariner',http://www.bbc.co.uk/go/rss/int/news/-/news/science-environment-12646364,"Studies of artefacts on islands off California exhibit differing hunting technologies and foods compared to inland cultures, researchers say.","Fri, 04 Mar 2011 13:14:30 GMT",California
98,,California,,,,,VIDEO: California to cut carbon emissions,http://www.bbc.co.uk/news/world-us-canada-20883751#sa-ns_mchannel=rssns_source=PublicRSS20-sa,A new system for cutting carbon emissions starts in California today.,"Tue, 01 Jan 2013 17:21:28 GMT",California
99,,California,,,,,VIDEO: 'Dust devil' tornado in US,http://www.bbc.co.uk/news/world-us-canada-24150374#sa-ns_mchannel=rssns_source=PublicRSS20-sa,"A sandy tornado, known as a 'dust devil', has been caught on camera in northern California.","Wed, 18 Sep 2013 14:56:24 GMT",California
100,,California,,,,,Zoo looks to nature for solutions,http://www.bbc.co.uk/news/technology-19424190#sa-ns_mchannel=rssns_source=PublicRSS20-sa,"San Diego Zoo in California has opened a Centre for Bioinspiration, which aims to take ideas from nature to see if they can be applied to solve human issues.","Thu, 30 Aug 2012 12:23:40 GMT",California
101,,California,,,,,Ancient whale bones found at zoo,http://www.bbc.co.uk/go/rss/int/news/-/news/science-environment-11394524,A construction team has discovered a 24-foot long whale skeleton at the San Diego Zoo in California.,"Wed, 22 Sep 2010 20:26:42 GMT",California
102,,California,,,,,One dead in SpaceShipTwo test crash,http://www.bbc.co.uk/news/world-us-canada-29857182#sa-ns_mchannel=rssns_source=PublicRSS20-sa,At least one person is dead and another injured after Virgin Galactic's SpaceShipTwo space tourism craft crashes in California.,"Fri, 31 Oct 2014 19:41:12 GMT",California
103,,California,,,,,US firms target astronaut flights,http://www.bbc.co.uk/news/science-environment-20964826#sa-ns_mchannel=rssns_source=PublicRSS20-sa,California's SpaceX company says it expects to start launching humans into orbit in its Dragon capsule in 2015.,"Thu, 10 Jan 2013 13:04:37 GMT",California
104,,California,,,,,VIDEO: Tasmanian devils have new US home,http://www.bbc.co.uk/news/world-us-canada-24457021#sa-ns_mchannel=rssns_source=PublicRSS20-sa,A group of Tasmanian devils have taken up residence in San Diego Zoo in California as part of a conservation programme to protect the endangered species.,"Wed, 09 Oct 2013 08:06:00 GMT",California
105,,California,,,,,Baking soda 'sponge' to capture carbon,http://www.bbc.co.uk/news/science-environment-36197603#sa-ns_mchannel=rssns_source=PublicRSS20-sa,Scientists in California are testing a spongy material made with the key ingredient of baking soda as means of capturing carbon emissions.,"Tue, 31 May 2016 10:03:27 GMT",California
106,,California,,,,,California governor signs law for clean energy by 2045,https://www.bbc.co.uk/news/world-us-canada-45476865,Governor Jerry Brown signs legislation committing California to carbon-free electricity by 2045.,"Mon, 10 Sep 2018 21:40:48 GMT",California
107,,California,,,,,Images show decline of California's 'life source',https://www.bbc.co.uk/news/world-us-canada-58232044,Justin Sullivan has been following California's second-largest reservoir's falling water levels.,"Mon, 16 Aug 2021 23:13:44 GMT",California
108,,California,,,,,Sunken shipping container visited,http://www.bbc.co.uk/go/rss/int/news/-/news/science-environment-12718251,"A robotic sub revisits a shipping container lost off the coast of California in 2004, finding it teeming with underwater life.","Tue, 15 Mar 2011 12:54:18 GMT",California
109,,California,,,,,Koko: Gorilla who mastered sign language dies in California,https://www.bbc.co.uk/news/world-us-canada-44559261,"Koko is said to have been able to communicate thoughts and feelings using more than 1,000 hand signs.","Thu, 21 Jun 2018 15:03:29 GMT",California
110,,California,,,,,Mountain lion kittens found living in US cave,https://www.bbc.co.uk/news/science-environment-44542883,Meet the new residents of a cave in California.,"Tue, 19 Jun 2018 21:58:23 GMT",California
111,,California,,,,,Quake talk over beached 'sea snake',http://www.bbc.co.uk/news/world-us-canada-24619600#sa-ns_mchannel=rssns_source=PublicRSS20-sa,Social media lights up with quake rumours after a giant oarfish once believed to be a sea serpent washes up in California - the second such discovery in days.,"Tue, 22 Oct 2013 19:53:08 GMT",California
