state_name,count
North Carolina,13
New York,8
Virginia,6
Louisiana,4
Indiana,4
Maryland,3
Illinois,3
Missouri,3
California,2
Pennsylvania,2
Kansas,2
Maine,2
Iowa,1
Wisconsin,1
New Mexico,1
Arkansas,1
Washington,1
Arizona,1
North Dakota,1
Texas,1
Oklahoma,1
