state_name,count
California,26
North Carolina,13
New York,9
Florida,9
Louisiana,7
Alaska,7
Texas,5
Arkansas,4
Virginia,3
New Mexico,3
Hawaii,3
Arizona,2
Illinois,2
Kansas,2
Michigan,2
Missouri,2
Indiana,2
Utah,2
Oklahoma,2
Kentucky,1
Maine,1
Montana,1
New Jersey,1
Tennessee,1
West Virginia,1
